,query,ground_truth,response
11,"The following given embeddings correspond to ""standing"": [[-21.13451, 26.509352], [-27.784554, 19.729448], [-25.35191, -41.73096]], and the following given embeddings correspond to ""stair up"": [[20.216213, -18.242527], [7.712626, -7.620439], [4.0266523, -3.09623]]; classify the embedding [-30.045334,19.062634] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Standing,standing
12,"The following given embeddings correspond to ""standing"": [[-24.005589, 24.416634], [-28.806658, 22.123236], [-49.729584, 33.51426]], and the following given embeddings correspond to ""stair up"": [[4.9716225, 18.156757], [6.919426, 1.0671716], [22.176355, -5.051969]]; classify the embedding [-38.86587,-37.81422] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Standing,standing
13,"The following given embeddings correspond to ""standing"": [[9.948022, -17.577717], [-11.873516, -30.609318], [-7.693295, -33.62041]], and the following given embeddings correspond to ""stair up"": [[4.9243903, 4.6379333], [13.555811, 16.898247], [14.742244, -8.365391]]; classify the embedding [-39.83051,-38.582863] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Standing,standing
14,"The following given embeddings correspond to ""standing"": [[-52.95534, 6.5303144], [-12.68347, -36.345676], [-39.46669, -41.11227]], and the following given embeddings correspond to ""stair up"": [[15.867692, 35.113766], [17.476942, 3.713405], [12.65531, 23.166237]]; classify the embedding [-0.66004646,-10.036105] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Standing,standing
15,"The following given embeddings correspond to ""standing"": [[-30.854368, -35.793186], [-50.34249, 27.482807], [-28.196756, 18.014715]], and the following given embeddings correspond to ""stair up"": [[5.6858325, -12.229369], [32.50251, 2.6331563], [-35.282333, 35.167038]]; classify the embedding [-1.1018722,-9.133118] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Standing,"""Stair up"""
16,"The following given embeddings correspond to ""standing"": [[-21.02702, 27.065313], [-14.659563, -36.175472], [-29.676823, 20.333502]], and the following given embeddings correspond to ""stair up"": [[40.58735, -5.872638], [4.0266523, -3.09623], [22.468227, 18.197124]]; classify the embedding [-52.34581,25.477982] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Standing,standing
17,"The following given embeddings correspond to ""standing"": [[-34.108376, -42.47069], [5.1252728, 3.417234], [-11.123164, -29.264854]], and the following given embeddings correspond to ""stair up"": [[22.468227, 18.197124], [7.712626, -7.620439], [14.313757, -15.629972]]; classify the embedding [-40.155117,-38.115685] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Standing,standing
18,"The following given embeddings correspond to ""standing"": [[-29.045797, -42.729553], [-34.108376, -42.47069], [-10.662023, -33.801434]], and the following given embeddings correspond to ""stair up"": [[51.82558, -14.36656], [-19.500103, 21.736265], [19.019701, 35.18033]]; classify the embedding [-28.676098,18.920332] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Standing,standing
19,"The following given embeddings correspond to ""standing"": [[-39.78513, -39.92866], [-49.327396, 6.132187], [-26.699137, 19.993433]], and the following given embeddings correspond to ""stair up"": [[20.526766, -19.169275], [7.028673, 3.008803], [4.9360538, -16.988514]]; classify the embedding [-29.134806,19.163029] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Standing,standing
20,"The following given embeddings correspond to ""standing"": [[-21.02702, 27.065313], [-24.359863, -36.066616], [-23.006474, -37.47579]], and the following given embeddings correspond to ""stair up"": [[46.542793, -9.172872], [3.6333954, 3.6194084], [20.885317, -21.45519]]; classify the embedding [-42.171562,-38.577606] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Standing,"""standing"""
21,"The following given embeddings correspond to ""standing"": [[-19.779366, 29.115559], [-28.196756, 18.014715], [-21.98961, 21.418867]], and the following given embeddings correspond to ""stair up"": [[24.109423, -1.1897506], [10.739949, 31.782745], [9.933993, 1.3478351]]; classify the embedding [-28.241947,19.019512] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Standing,"""Standing"""
22,"The following given embeddings correspond to ""standing"": [[-20.347834, 31.379545], [-34.802395, -39.157364], [-40.386112, -39.175175]], and the following given embeddings correspond to ""stair up"": [[12.061411, 6.7784247], [11.65914, 22.613447], [51.82558, -14.36656]]; classify the embedding [-28.530247,21.121508] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Standing,standing
23,"The following given embeddings correspond to ""standing"": [[-13.694899, -31.597347], [-19.172318, 31.74975], [-39.83051, -38.582863]], and the following given embeddings correspond to ""stair up"": [[31.341864, 2.9701977], [17.953789, 36.56105], [13.527285, 2.749957]]; classify the embedding [-32.948868,-39.628254] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Standing,standing
24,"The following given embeddings correspond to ""standing"": [[-7.2362967, -22.45102], [-51.593292, 5.3954015], [-38.86587, -37.81422]], and the following given embeddings correspond to ""stair up"": [[12.828425, -16.619114], [4.631833, 15.199386], [7.0875463, 6.0087104]]; classify the embedding [-33.20964,-38.65872] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Standing,"""standing"""
25,"The following given embeddings correspond to ""standing"": [[-11.123164, -29.264854], [-25.430544, -39.601], [-25.073847, 20.740208]], and the following given embeddings correspond to ""stair up"": [[18.888746, -18.940634], [-1.1494025, -9.705397], [19.019701, 35.18033]]; classify the embedding [-34.4799,-38.524277] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Standing,standing
26,"The following given embeddings correspond to ""standing"": [[-10.352333, -29.434671], [-28.676098, 18.920332], [-12.598958, -35.524036]], and the following given embeddings correspond to ""stair up"": [[24.109423, -1.1897506], [27.633999, 13.634906], [19.019701, 35.18033]]; classify the embedding [-30.775423,-37.911034] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Standing,standing
27,"The following given embeddings correspond to ""standing"": [[-39.46669, -41.11227], [-51.593292, 5.3954015], [-5.9994397, -35.099968]], and the following given embeddings correspond to ""stair up"": [[12.002488, 28.602266], [11.856708, 0.90857875], [16.596973, 26.183455]]; classify the embedding [-33.473373,-41.89313] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Standing,standing
28,"The following given embeddings correspond to ""standing"": [[-1.1018722, -9.133118], [-39.46669, -41.11227], [-29.134806, 19.163029]], and the following given embeddings correspond to ""stair up"": [[18.31784, 37.463352], [16.122005, -10.877829], [51.82558, -14.36656]]; classify the embedding [3.017593,4.3972626] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Standing,standing
29,"The following given embeddings correspond to ""standing"": [[-25.773958, -40.417866], [-32.427547, -36.788494], [-0.66004646, -10.036105]], and the following given embeddings correspond to ""stair up"": [[16.412106, 38.599068], [11.960827, 0.9095565], [15.035491, 1.9043641]]; classify the embedding [-33.62118,-38.21486] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Standing,"""standing"""
30,"The following given embeddings correspond to ""standing"": [[-12.598958, -35.524036], [-19.779366, 29.115559], [-18.788208, 30.507189]], and the following given embeddings correspond to ""stair up"": [[13.591949, 6.324806], [18.196587, 13.198695], [15.577325, -0.3119866]]; classify the embedding [-29.676823,20.333502] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Standing,standing
31,"The following given embeddings correspond to ""standing"": [[-31.692263, -36.4899], [11.160281, -1.0739207], [-29.157217, -41.81572]], and the following given embeddings correspond to ""stair up"": [[38.072403, -16.914223], [43.683914, -22.93805], [11.89773, -0.04030553]]; classify the embedding [-49.327396,6.132187] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Standing,"""standing"""
32,"The following given embeddings correspond to ""standing"": [[-7.6116247, -32.293427], [-25.204845, 21.647924], [-24.451117, -35.511772]], and the following given embeddings correspond to ""stair up"": [[12.0906925, 6.386444], [14.918489, -0.84532636], [6.919426, 1.0671716]]; classify the embedding [-28.001764,20.41238] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Standing,"""standing"""
33,"The following given embeddings correspond to ""standing"": [[-52.602043, 5.342504], [-25.919884, 19.552189], [-38.86587, -37.81422]], and the following given embeddings correspond to ""stair up"": [[43.683914, -22.93805], [7.028673, 3.008803], [16.505095, 1.2064227]]; classify the embedding [-50.34249,27.482807] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Standing,standing
34,"The following given embeddings correspond to ""standing"": [[-6.8523026, -30.806229], [3.33841, -17.95699], [-25.54024, -35.59291]], and the following given embeddings correspond to ""stair up"": [[34.657845, -1.5703145], [5.034269, -9.188716], [6.7356405, 16.049002]]; classify the embedding [-34.802395,-39.157364] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Standing,standing
35,"The following given embeddings correspond to ""standing"": [[-33.20964, -38.65872], [-21.164354, 29.441824], [-32.988213, -34.979237]], and the following given embeddings correspond to ""stair up"": [[35.7757, -4.892875], [-5.2100997, 1.4806976], [22.79148, 0.5839784]]; classify the embedding [-51.593292,5.3954015] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Standing,standing
36,"The following given embeddings correspond to ""standing"": [[-29.676823, 20.333502], [-20.347834, 31.379545], [-18.788208, 30.507189]], and the following given embeddings correspond to ""stair up"": [[46.542793, -9.172872], [26.955868, 13.925916], [-14.1520195, 28.90349]]; classify the embedding [-35.662243,-38.528458] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Standing,standing
37,"The following given embeddings correspond to ""standing"": [[-13.694899, -31.597347], [-29.134806, 19.163029], [-23.492916, -35.50076]], and the following given embeddings correspond to ""stair up"": [[20.648222, 32.28295], [21.965776, -21.875042], [8.752328, -6.9808493]]; classify the embedding [-27.45944,20.720985] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Standing,standing
38,"The following given embeddings correspond to ""standing"": [[-0.66004646, -10.036105], [-21.98961, 21.418867], [-41.63086, -38.30084]], and the following given embeddings correspond to ""stair up"": [[14.918489, -0.84532636], [20.648222, 32.28295], [6.345557, 8.249676]]; classify the embedding [-35.265575,-40.443954] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Standing,"""standing"""
39,"The following given embeddings correspond to ""standing"": [[-10.104916, -31.728168], [-9.177948, -33.859013], [-21.98961, 21.418867]], and the following given embeddings correspond to ""stair up"": [[13.204205, 5.4178224], [24.451612, -9.475828], [2.012151, 11.702464]]; classify the embedding [-28.417252,20.100672] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Standing,standing
40,"The following given embeddings correspond to ""standing"": [[-24.568666, -37.02987], [-21.776567, 30.582642], [-52.602043, 5.342504]], and the following given embeddings correspond to ""stair up"": [[14.529692, 31.889317], [24.109423, -1.1897506], [7.028673, 3.008803]]; classify the embedding [9.948022,-17.577717] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Standing,"""standing"""
41,"The following given embeddings correspond to ""standing"": [[-24.359863, -36.066616], [4.363894, -4.8313437], [-31.284178, -34.99345]], and the following given embeddings correspond to ""stair up"": [[14.295957, 38.26147], [8.733892, 7.6905704], [20.216213, -18.242527]]; classify the embedding [-35.19139,-39.54705] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Standing,"""standing"""
42,"The following given embeddings correspond to ""standing"": [[-7.2362967, -22.45102], [-21.02702, 27.065313], [-5.9994397, -35.099968]], and the following given embeddings correspond to ""stair up"": [[6.565593, -20.334679], [16.505095, 1.2064227], [17.476942, 3.713405]]; classify the embedding [-28.806658,22.123236] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Standing,standing
43,"The following given embeddings correspond to ""standing"": [[-34.802395, -39.157364], [-52.95534, 6.5303144], [-19.30787, 31.8627]], and the following given embeddings correspond to ""stair up"": [[5.8234186, 1.8064682], [27.573023, -0.33689743], [24.68652, -8.1855]]; classify the embedding [-35.95818,-39.344147] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Standing,"""standing"""
44,"The following given embeddings correspond to ""standing"": [[-32.988213, -34.979237], [-49.327396, 6.132187], [-20.403008, -36.074474]], and the following given embeddings correspond to ""stair up"": [[24.081192, 23.833672], [30.401472, -9.186371], [12.0906925, 6.386444]]; classify the embedding [-27.80373,21.216175] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Standing,"""Standing"""
45,"The following given embeddings correspond to ""standing"": [[-23.735264, 21.0865], [-26.54987, -40.786102], [-19.172318, 31.74975]], and the following given embeddings correspond to ""stair up"": [[6.345557, 8.249676], [25.412079, -9.384235], [31.398182, -14.384027]]; classify the embedding [-27.784554,19.729448] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Standing,"""standing"""
46,"The following given embeddings correspond to ""standing"": [[-25.204845, 21.647924], [-22.357534, 23.768393], [-21.13451, 26.509352]], and the following given embeddings correspond to ""stair up"": [[5.5091996, 0.9072939], [-19.500103, 21.736265], [15.577325, -0.3119866]]; classify the embedding [-28.804955,20.614883] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Standing,standing
47,"The following given embeddings correspond to ""standing"": [[-25.919884, 19.552189], [-7.4916945, -30.469622], [-21.776567, 30.582642]], and the following given embeddings correspond to ""stair up"": [[39.00806, -25.696661], [20.885317, -21.45519], [27.633999, 13.634906]]; classify the embedding [-29.601162,21.273127] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Standing,standing
48,"The following given embeddings correspond to ""standing"": [[-6.620418, -32.712082], [-16.965612, -34.879368], [-38.240948, -38.02957]], and the following given embeddings correspond to ""stair up"": [[25.539883, -3.1509593], [32.50251, 2.6331563], [-14.24023, 28.9247]]; classify the embedding [-29.112211,20.077808] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Standing,stair up
49,"The following given embeddings correspond to ""standing"": [[-22.357534, 23.768393], [-25.54024, -35.59291], [-23.257185, 23.466589]], and the following given embeddings correspond to ""stair up"": [[26.955868, 13.925916], [-19.500103, 21.736265], [35.72638, -13.821022]]; classify the embedding [-31.284178,-34.99345] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Standing,"""standing"""
50,"The following given embeddings correspond to ""standing"": [[-41.63086, -38.30084], [-39.110786, -39.678566], [3.017593, 4.3972626]], and the following given embeddings correspond to ""stair up"": [[16.361773, -0.80291617], [10.836582, -7.6723824], [3.5114367, 20.462387]]; classify the embedding [-26.586514,18.53781] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Standing,Standing
51,"The following given embeddings correspond to ""standing"": [[-10.662023, -33.801434], [-29.045797, -42.729553], [-9.177948, -33.859013]], and the following given embeddings correspond to ""stair up"": [[16.596973, 26.183455], [3.9276428, 18.096651], [22.176355, -5.051969]]; classify the embedding [-26.699137,19.993433] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Standing,standing
52,"The following given embeddings correspond to ""standing"": [[-26.858295, -39.69159], [-29.676823, 20.333502], [-21.438047, 27.785177]], and the following given embeddings correspond to ""stair up"": [[32.50251, 2.6331563], [12.061411, 6.7784247], [17.739538, -17.871233]]; classify the embedding [-32.116356,-41.348495] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Standing,standing
53,"The following given embeddings correspond to ""standing"": [[-24.451117, -35.511772], [-25.629177, -38.885326], [-20.265808, 22.196327]], and the following given embeddings correspond to ""stair up"": [[17.311909, 3.9237585], [12.0906925, 6.386444], [13.559599, -0.12257339]]; classify the embedding [-31.075974,-35.83517] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Standing,standing
54,"The following given embeddings correspond to ""standing"": [[-19.804579, -37.012623], [4.363894, -4.8313437], [11.160281, -1.0739207]], and the following given embeddings correspond to ""stair up"": [[4.9243903, 4.6379333], [5.5091996, 0.9072939], [12.3531885, 3.4315934]]; classify the embedding [-31.692263,-36.4899] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Standing,standing
55,"The following given embeddings correspond to ""standing"": [[-24.451117, -35.511772], [-9.717875, -30.240656], [-52.233852, 5.672606]], and the following given embeddings correspond to ""stair up"": [[22.468227, 18.197124], [34.04075, -12.050467], [10.836582, -7.6723824]]; classify the embedding [-32.988213,-34.979237] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Standing,standing
56,"The following given embeddings correspond to ""standing"": [[-7.693295, -33.62041], [-9.455753, -31.00343], [-38.181717, -39.814083]], and the following given embeddings correspond to ""stair up"": [[11.89773, -0.04030553], [6.345557, 8.249676], [14.313757, -15.629972]]; classify the embedding [-28.40444,-35.37298] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Standing,"""standing"""
57,"The following given embeddings correspond to ""standing"": [[-8.68862, -33.37344], [5.0074463, -8.013444], [-27.45944, 20.720985]], and the following given embeddings correspond to ""stair up"": [[25.691502, 28.454813], [44.560284, -7.762913], [20.479557, 11.135391]]; classify the embedding [-32.427547,-36.788494] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Standing,standing
58,"The following given embeddings correspond to ""standing"": [[-34.4799, -38.524277], [-20.543684, 27.15111], [-20.403008, -36.074474]], and the following given embeddings correspond to ""stair up"": [[16.690702, 15.915235], [4.9360538, -16.988514], [40.663956, 0.7122175]]; classify the embedding [5.4367437,-13.887092] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Standing,"""stair up"""
59,"The following given embeddings correspond to ""standing"": [[-39.46669, -41.11227], [-23.257185, 23.466589], [-25.073847, 20.740208]], and the following given embeddings correspond to ""stair up"": [[3.6333954, 3.6194084], [16.690702, 15.915235], [21.991917, 19.063772]]; classify the embedding [-25.919884,19.552189] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Standing,"""Standing"""
60,"The following given embeddings correspond to ""standing"": [[-29.676823, 20.333502], [-22.90062, 26.23827], [-35.265575, -40.443954]], and the following given embeddings correspond to ""stair up"": [[4.9243903, 4.6379333], [24.68652, -8.1855], [10.38978, 9.858371]]; classify the embedding [-29.272154,-35.466084] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Standing,standing
61,"The following given embeddings correspond to ""standing"": [[-38.86587, -37.81422], [-21.74448, 31.736048], [-23.978436, 23.699535]], and the following given embeddings correspond to ""stair up"": [[4.9243903, 4.6379333], [15.035491, 1.9043641], [38.072403, -16.914223]]; classify the embedding [-30.854368,-35.793186] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Standing,standing
62,"The following given embeddings correspond to ""standing"": [[-23.999035, 21.87505], [-18.910822, 28.993162], [3.017593, 4.3972626]], and the following given embeddings correspond to ""stair up"": [[16.412106, 38.599068], [11.960827, 0.9095565], [43.683914, -22.93805]]; classify the embedding [-26.810453,19.311049] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Standing,standing
63,"The following given embeddings correspond to ""standing"": [[-8.279873, -33.03706], [-24.976236, -40.3781], [-35.19139, -39.54705]], and the following given embeddings correspond to ""stair up"": [[46.62775, 5.964675], [10.38978, 9.858371], [20.976515, 17.772718]]; classify the embedding [-24.441725,21.422838] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Standing,"""stair up"""
64,"The following given embeddings correspond to ""standing"": [[-20.61751, 32.073887], [-26.810453, 19.311049], [-26.699137, 19.993433]], and the following given embeddings correspond to ""stair up"": [[3.6333954, 3.6194084], [4.9716225, 18.156757], [-14.1520195, 28.90349]]; classify the embedding [-23.504402,-41.191353] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Standing,standing
65,"The following given embeddings correspond to ""standing"": [[-35.19139, -39.54705], [-41.63086, -38.30084], [-25.35191, -41.73096]], and the following given embeddings correspond to ""stair up"": [[14.125887, -7.7891912], [5.622311, 6.5980873], [44.560284, -7.762913]]; classify the embedding [-25.073847,20.740208] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Standing,"""stair up"""
66,"The following given embeddings correspond to ""standing"": [[-10.662023, -33.801434], [-24.005589, 24.416634], [-0.66004646, -10.036105]], and the following given embeddings correspond to ""stair up"": [[15.035491, 1.9043641], [18.196587, 13.198695], [46.542793, -9.172872]]; classify the embedding [-23.735264,21.0865] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Standing,"""standing"""
